moderator (19:50:24 PM):  made it huh :-).
leah (20:33:58 PM):  my portuguese professor is dutch.
ted (20:34:06 PM):  lol.
ariel (20:34:08 PM):  ??? that didnt make much sense.
leah (20:34:18 PM):  yea it does.. hes dutch.
cinthia (20:34:25 PM):  she was just stating that hes dutch.
ted (20:34:25 PM):  yes it makes sense.
ariel (20:34:40 PM):  -.^;.
ted (20:34:55 PM):  So thus far,, Athens and Amsterdam, are in our selection list.
ariel (20:35:10 PM):  yep.
tia (20:35:11 PM):  ted, shouldn't you tell us about Madrid?
ariel (20:35:15 PM):  anyone got any others to add.
ted (20:35:19 PM):  what about places in Germany or Portugal.
ted (20:35:35 PM):  I have never been there.
tia (20:35:47 PM):  Why did you say Madrid as your first choice?
ted (20:35:48 PM):  i meant in madrid.
ted (20:36:14 PM):  i was just asking, if anyone liked Madrid.
tia (20:36:18 PM):  oh.
cinthia (20:36:28 PM):  didnt someone say they would go to spain tho.
tia (20:36:28 PM):  Can someone advocate for Paris?
ariel (20:36:40 PM):  I did but then I thought about it.
ariel (20:36:47 PM):  and I remembered my WOW buddies.
tia (20:36:51 PM):  oh.
ariel (20:36:58 PM):  and that I hate the Vosotros form they use in spain.
cinthia (20:37:07 PM):  so that is kind of a bias.
cinthia (20:37:11 PM):  they are like your wow family.
tia (20:37:15 PM):  What does that mean, ariel?
ted (20:37:20 PM):  ha ha for ariel's quote.
tia (20:37:32 PM):  oh, you're talking grammar.
ariel (20:37:35 PM):  yeah.
ted (20:37:37 PM):  you take/took Spanish ariel?
ariel (20:37:45 PM):  yes its my minor.
ariel (20:37:49 PM):  and im also bilingual.
cinthia (20:37:56 PM):  awesome.
ariel (20:37:57 PM):  well trilingual technically.
tia (20:38:02 PM):  that's great.
ariel (20:38:20 PM):  Japanese is the third its my major...
tia (20:38:32 PM):  kudos to you.
ted (20:38:41 PM):  At first i was advocating for Kiev.
ariel (20:38:42 PM):  lol thx its a big pain in the ass.
ariel (20:38:49 PM):  but anyway back to spain spanish.
ted (20:38:57 PM):  but i am not sure if anyone else would like that city.
ariel (20:39:00 PM):  vosotros is used commonly in spain but not in most other countires.
ariel (20:39:20 PM):  so if its your first exposure to spanish i would advise against it.
ariel (20:39:31 PM):  although im sure others could make an arguement for the other side.
tia (20:39:36 PM):  ted, I need you to tell about Kiev before I can find it of any interest.
ted (20:39:37 PM):  of course.
ariel (20:39:57 PM):  where is Kiev?
cinthia (20:40:10 PM):  ive heard of it.
ted (20:40:18 PM):  it is in Ukraine.
ariel (20:40:24 PM):  hmmm.
ariel (20:40:27 PM):  not much interest to me.
ariel (20:40:37 PM):  well actually... are the guys cute?
leah (20:40:37 PM):  lol.
tia (20:40:40 PM):  Are they still fighting there?
ariel (20:40:58 PM):  I see we all have different agendas.
ted (20:41:02 PM):  it is one of the oldest cities in europe.
ted (20:41:11 PM):  but it is most of the time overlooked.
ariel (20:41:30 PM):  yeah i think im gonna have to go with the masses and overlook it as well.
tia (20:42:00 PM):  What is in Kiev?
ted (20:42:13 PM):  there is a lot of history.
tia (20:42:30 PM):  Wasn't Ukraine part of the Soviet Union?
ted (20:42:32 PM):  because it used to belong to Poland, then lithuania, then russia.
cinthia (20:42:43 PM):  wow thats crazy.
tia (20:42:44 PM):  I did not know that.
ted (20:42:54 PM):  so a lot happened there.
tia (20:42:55 PM):  So, is this the first time it is independent?
leah (20:43:24 PM):  i didnt know that either.
ted (20:43:37 PM):  i guess so.
tia (20:43:48 PM):  Is it always cool/cold there, or are there four well-defined seasons?
ted (20:44:23 PM):  it probably like washinton DC.
tia (20:44:34 PM):  Wasn't it the luge guy from Ukraine that died at the beginning of the Winter Olympics?
ted (20:45:08 PM):  he was from georgia.
cinthia (20:45:22 PM):  yeah... which confused me cuz i thought it was from the states.
tia (20:45:32 PM):  lol.
ted (20:45:34 PM):  lol.
leah (20:45:38 PM):  lol.
ariel (20:45:54 PM):  zomg.
tia (20:46:07 PM):  So, in Kiev, we would be looking at historical buildings and going to museums?
ted (20:46:11 PM):  but that is why i want to visit kiev. we know a lot about rome, paris, but not much about kiev, that is why for me it is kind of exotic.
ted (20:46:22 PM):  both.
tia (20:46:38 PM):  are the people exotic?
cinthia (20:46:50 PM):  not really r they?
ted (20:46:57 PM):  there are museums, and historial buildings with items from every time period.
ted (20:47:29 PM):  i was attracted to one ukranian. but by exotic i meant the city itself.
cinthia (20:47:36 PM):  i bet the architecture is amazing too.
ariel (20:48:04 PM):  im still wondering though are the guys cute..???
tia (20:48:15 PM):  Might go hand-in-hand, ted.
rita (20:48:19 PM):  Sorry I am so late!
ariel (20:48:23 PM):  this may sound silly to you but.. i would like to have some fun when im there lol.
leah (20:48:27 PM):  lol.
cinthia (20:48:56 PM):  google ukrainian men.
ariel (20:49:12 PM):  lol.
tia (20:49:31 PM):  Athens is alot of fun, and I have never heard anyone say that they did not have a good time in Amsterdam.
ariel (20:49:39 PM):  google is not very representative i was kinda hoping for more hands on experience type of oppinion.
ted (20:49:57 PM):  i am not sure about ukranian men, but i do know about swedish women. (or at least seen their beauty) lol.
tia (20:50:04 PM):  Well, I don't think I've ever met someone from Ukraine.
ariel (20:51:08 PM):  Well I have one friend who is from Ukraine and he is cute as hell but.
tia (20:51:08 PM):  Greek men are good looking.
ariel (20:51:17 PM):  who knows if he is common.
cinthia (20:51:17 PM):  so r italian.
ariel (20:51:18 PM):  lol.
ted (20:51:25 PM):  so that is why you want to go to athens !!!
ariel (20:51:28 PM):  yeah?
ariel (20:51:31 PM):  LOL.
tia (20:51:34 PM):  Actually, no.
ariel (20:51:36 PM):  probably.
ariel (20:51:47 PM):  sure sure we know what you say and what you mean are two different things.
ted (20:51:53 PM):  in that case i would move my priority to Stocklom, Sweden.
tia (20:51:53 PM):  Greek men also tend to be somewhat chauvinistic.
tia (20:52:09 PM):  Amsterdam would be the place for equality.
ariel (20:52:23 PM):  oooo ok Amsterdam.
rita (20:52:26 PM):  So what is the most important thing about a place to you ... food, men/women, entertainment, cultural events, museums, night life?
ariel (20:52:27 PM):  plus they have money too.
ariel (20:52:40 PM):  im not a gold digger but i wont pass up the opportunity either lol.
tia (20:52:57 PM):  For me, it's the culture, which includes all of the above.
cinthia (20:53:08 PM):  nicely said tia.
rita (20:53:09 PM):  I like sight seeing and meeting cool new people and I love food.
ariel (20:53:17 PM):  For me its the guys, screw the city I want a tour of the guys... no puns intended.
cinthia (20:53:22 PM):  hey if u wouldnt mind... how much was it to go to greece and how long did u stay.
tia (20:53:39 PM):  When I went in 2007, I stayed for three weeks. I was treated to the trip.
tia (20:54:00 PM):  I did make purchases though, and my dollar went far.
cinthia (20:54:03 PM):  can u introduce me to your... treat-or?
leah (20:54:06 PM):  lol.
tia (20:54:23 PM):  go find your own friends! :-).
leah (20:54:31 PM):  haha tia.
ariel (20:54:32 PM):  LOL.
cinthia (20:54:49 PM):  fine tia... if you want to play it that way lol.
tia (20:54:56 PM):  When I was in junior high and high school, I had pen pals all over the world.
tia (20:55:03 PM):  That is a cheap way to get places to stay.
tia (20:55:07 PM):  for free.
cinthia (20:55:15 PM):  so you went awhile ago?
tia (20:55:26 PM):  My first trip to Greece was in 1980.
ted (20:55:30 PM):  or hang out by the International Student Office.
cinthia (20:55:33 PM):  oh wow.
leah (20:55:39 PM):  wow.
rita (20:55:40 PM):  I went to Italy when I was 19 ... a while ago (now I am dating myself) and I visited Rome, Florence, and Milan.
tia (20:55:52 PM):  You're not dating yourself older than I, rita.
rita (20:56:05 PM):  I bought a cool pair of hand made leather boots in Florance for like $45.
ariel (20:56:29 PM):  Zomg you ppl are old.
tia (20:56:34 PM):  lol.
ariel (20:56:38 PM):  O.o;.
leah (20:56:39 PM):  lol.
ted (20:56:44 PM):  lol.
ariel (20:56:52 PM):  I had no idea i was having a conversation with geezers all this time.
rita (20:56:56 PM):  We traveled through Tuscany too, think of that movie (some one help me out ... Sandra Oh was in it.
tia (20:56:57 PM):  lol.
ariel (20:57:03 PM):  convos from the cript keeper.
cinthia (20:57:07 PM):  haha under the tuscan sun.
rita (20:57:13 PM):  Yes thank you.
ted (20:57:18 PM):  So far amsterdam and athens are in the list, rita.
rita (20:57:24 PM):  Tuscany is beautiful!!!
tia (20:57:24 PM):  Wasn't Sandra.
ted (20:57:28 PM):  would you like to add another city to it?
tia (20:57:31 PM):  It was Diane ...
rita (20:57:42 PM):  Is Greece part of Europe?
rita (20:57:50 PM):  I love Greece.
ariel (20:57:51 PM):  I think so.
ariel (20:57:56 PM):  If russia is.
tia (20:57:58 PM):  You guys are so silly.
ariel (20:58:00 PM):  then so is Greece.
leah (20:58:02 PM):  lol.
ariel (20:58:05 PM):  How are we silly?
tia (20:58:22 PM):  "Is Greece part of Europe?
tia (20:58:55 PM):  You do know that is where Western civilization began?
cinthia (20:59:17 PM):  yep.
tia (20:59:21 PM):  good.
leah (20:59:25 PM):  mhm.
ariel (20:59:28 PM):  no i didnt know that.
rita (20:59:36 PM):  "Greece is located in southern europe " it says so on Google.
rita (20:59:45 PM):  God has spoken.
ted (20:59:56 PM):  i think we might be confusing Europe with European Union. or becoming very specific. and thinking about Europe and Eastern Europe as two separate.
tia (21:00:07 PM):  Greece is part of the European Union.
ted (21:00:16 PM):  it is in deed.
rita (21:00:20 PM):  Was Mama Mia fun or what!?!
leah (21:00:26 PM):  lol.
rita (21:00:27 PM):  I loved the country side.
tia (21:00:29 PM):  Mama Mia is one of my favorite movies.
ariel (21:00:40 PM):  lol you guys are random and old.
tia (21:00:48 PM):  There, you got the Swedes with the Greeks!
ariel (21:00:49 PM):  but its ok it makes for interesting conversation.
tia (21:00:59 PM):  (ABBA being Swedish).
ariel (21:01:04 PM):  ABBA?
leah (21:01:10 PM):  this singer.
ted (21:01:11 PM):  lol.
cinthia (21:01:28 PM):  lololllolol.
ted (21:01:51 PM):  rita, i d like to ask you what city is your top choice?
rita (21:02:00 PM):  Hmmmm.
ariel (21:02:08 PM):  Amsterdam right?
ariel (21:02:11 PM):  for the cute guys.
ariel (21:02:16 PM):  right?
leah (21:02:24 PM):  smh.
ted (21:02:40 PM):  for the fun!!!
cinthia (21:02:42 PM):  smh?
leah (21:02:46 PM):  shaking my head.
rita (21:02:57 PM):  I loved Sienna and San Ganiniano in Italy (both in Tuscany) I also really liked Paris and London.
cinthia (21:03:00 PM):  ok yes ditto.
leah (21:03:05 PM):  lol.
rita (21:03:14 PM):  Oops San Gaminiano.
tia (21:03:20 PM):  no interest in trying some place new, rita?
rita (21:03:48 PM):  Well if you want to get high all the time Amsterdam is a blast.
tia (21:04:04 PM):  sounds like you have experience there.
leah (21:04:07 PM):  lol.
ted (21:04:23 PM):  as a tourist i would prefer to visit a different place everytime.
rita (21:04:30 PM):  Yes, Greece is definitely a place I want to go.
rita (21:05:19 PM):  I have to admit I have gotten in to some situations not being able to speak the language.
rita (21:05:26 PM):  Does that bother anyone else?
tia (21:05:39 PM):  Most Greeks speak English as their second language.
ted (21:05:41 PM):  i ll go to paris for its museums, i ll go to barcelona to have fun. i go to Zurich just to relax.
rita (21:05:52 PM):  Like going somewhere you can't speak the local lingo.
ariel (21:05:53 PM):  well kinda, but im used to it... my japanese teacher talks a mile a min in class and i cant catch half of what she says.
ariel (21:06:02 PM):  and then she always picks on me first.
tia (21:06:08 PM):  when did you have time in your life to do all that, ted?
ariel (21:06:27 PM):  i bet he is old too.
leah (21:06:30 PM):  lol.
tia (21:06:31 PM):  lol.
ted (21:06:31 PM):  realistically in the next 3 years.
ted (21:06:45 PM):  i ll acomplish that too.
tia (21:06:51 PM):  are you one of those students who are going to take off a year and backpack across Europe?
ted (21:07:05 PM):  no i am not a student.
tia (21:07:21 PM):  well, then, who are you???????? :-).
ted (21:07:22 PM):  as ariel said i am not as young as i would like to be.
leah (21:07:27 PM):  lol.
rita (21:07:34 PM):  My husband picks up languages like it's no big deal ... he can speak like 6 or 8 mostly Asian, some German, Spanish, French - me ... no way, it's hard.
tia (21:07:47 PM):  languages are hard for me too.
cinthia (21:07:50 PM):  i used to date someone from germany and he knows alot.
tia (21:07:56 PM):  but I'm very good at being quiet and observant.
cinthia (21:07:59 PM):  its easier when you know more.
leah (21:08:10 PM):  i am too tia.
ariel (21:08:14 PM):  lol husband?!
ariel (21:08:20 PM):  zomg.
leah (21:08:24 PM):  lol ariel.
ariel (21:08:25 PM):  i feel so young!
cinthia (21:08:37 PM):  ariel how young r u?
ariel (21:08:41 PM):  21.
cinthia (21:08:42 PM):  im 21.
rita (21:08:45 PM):  My four year old watched a lot of Deigo and Ne Ho Kilan ... so I am learning Spanish and Chinese.
leah (21:08:56 PM):  im 20 i might just be the youngest one here.
leah (21:08:57 PM):  lol.
ariel (21:08:59 PM):  LOL.
ariel (21:09:03 PM):  what about you old guys.
ariel (21:09:04 PM):  ?
cinthia (21:09:04 PM):  sounds like it leah.
tia (21:09:19 PM):  I have a 19 year old son who just started college.
ariel (21:09:24 PM):  ZOMG.
ted (21:09:26 PM):  wow.
rita (21:09:29 PM):  Well, I wasn't born in the 80s.
ariel (21:09:31 PM):  so how old does that make you?
tia (21:09:36 PM):  47.
ariel (21:09:40 PM):  ZOMG.
cinthia (21:09:48 PM):  tia... my mom is much older.
ariel (21:09:48 PM):  its like im talking to my mom!
tia (21:09:54 PM):  Yeh, but I'm a lawyer and I go to graduate school for fun.
rita (21:10:02 PM):  Does your mom text?
cinthia (21:10:03 PM):  youre a young mom.
ariel (21:10:07 PM):  yeah actually she does.
cinthia (21:10:10 PM):  haha yeah all the time.
ariel (21:10:12 PM):  she has facebook too.
ariel (21:10:13 PM):  -_-;.
rita (21:10:16 PM):  See, we can be cool.
cinthia (21:10:17 PM):  my mom is 56! and im 21!
leah (21:10:18 PM):  lol totally my dad is 47.
ariel (21:10:19 PM):  she friended me last week.
rita (21:10:31 PM):  I just turned 40.
rita (21:10:44 PM):  I was 28 when I went to SUNY.
ted (21:10:46 PM):  i am 27.
rita (21:10:49 PM):  as a grad studnety.
rita (21:10:53 PM):  student.
ariel (21:11:02 PM):  so we have 21, 21 20, 40, 47, 27?
cinthia (21:11:06 PM):  awesome... i cant wait to graduate... but im terrified of the real world.
ted (21:11:07 PM):  and i wish i went in the study abroad program.
ted (21:11:12 PM):  when i went to suny.
rita (21:11:18 PM):  Travel!!!
ted (21:11:22 PM):  i would have love to spend a year in rome or paris.
ariel (21:11:25 PM):  I plan on it.
rita (21:11:26 PM):  Now where to travel to ...
ariel (21:11:29 PM):  im going to japan next year...
rita (21:11:32 PM):  In Europe that is.
ariel (21:11:35 PM):  but its 29,000!
ted (21:11:35 PM):  to where? ariel?
ariel (21:11:39 PM):  osaka.
ariel (21:11:46 PM):  kansai gaidai university.
rita (21:11:51 PM):  I would love to travel in Asia.
cinthia (21:11:55 PM):  me too.
cinthia (21:12:00 PM):  im actually thinking aboit it.
tia (21:12:01 PM):  Osaka is beautiful. I was in Kyoto for a month.
rita (21:12:01 PM):  The food is awesome.
ariel (21:12:01 PM):  29,000 is more then its cost me to go for 3 years here at suny!
ted (21:12:06 PM):  any one going any where in EUROPE sometime soon?
cinthia (21:12:17 PM):  i might go to greece over the summer actually.
ariel (21:12:17 PM):  LOL ted is that a hint hint?
cinthia (21:12:25 PM):  so this is a perfect chat.
ted (21:12:27 PM):  lol.
cinthia (21:12:40 PM):  for a grad present with my boyfriend.
leah (21:12:44 PM):  wow.
rita (21:12:53 PM):  Yes but yo have like two years before they start making you seriously start paying back the loans.
tia (21:13:03 PM):  ted, is it a toss up between Athens and Amsterdam?
ariel (21:13:04 PM):  thats ok i plan to pay for it quick.
cinthia (21:13:09 PM):  i dont have any loans.
leah (21:13:11 PM):  thats cool.
ariel (21:13:14 PM):  im gonna join the jet program and teach english abroad.
ted (21:13:17 PM):  i heard rome and paris a few times.
ariel (21:13:30 PM):  i would make 40k a year and they would pay for my room seperate.
tia (21:13:32 PM):  anyone with student loans should check out the income contingent program available through the U.S. Departmetn of Education.
ted (21:13:35 PM):  do you guys feel like adding them to, to the list?
ariel (21:13:43 PM):  no.
leah (21:13:50 PM):  lol.
rita (21:14:10 PM):  So let's quick rank Paris, Rome, Athens, Amsterdam, Madrid ... any others.
ariel (21:14:18 PM):  Amsterdamn... im going to get laid by hot guys speaking in dutch all night or in hot accented english.
ariel (21:14:20 PM):  no thx.
rita (21:14:36 PM):  I hope you use protection.
ariel (21:14:54 PM):  lol im not stupid thx.
ariel (21:14:58 PM):  :P.
ted (21:14:58 PM):  have fun, send me a post card.
ariel (21:15:01 PM):  i will!
leah (21:15:03 PM):  lol.
cinthia (21:15:13 PM):  smh.
ariel (21:15:18 PM):  y?
leah (21:15:26 PM):  haha cinthia.
cinthia (21:15:27 PM):  its funny.
ariel (21:15:48 PM):  hey man i only live once... if this is what i wanna do then nows the time to do it.
ariel (21:16:02 PM):  by the time i get to be your age gravity will not have been kind.
rita (21:16:04 PM):  So 1: Amsterdam, 2: Athens, 3: Rome, 4: Paris, 5: Madrid, 6: London.
ted (21:16:09 PM):  and i think the place to start in europe will be amsterdam lol.
leah (21:16:13 PM):  lol.
cinthia (21:16:21 PM):  true ted.
ted (21:16:23 PM):  yes rita i like that ranking.
tia (21:16:28 PM):  How did Rome get to be third?
leah (21:16:32 PM):  idk.
ted (21:16:35 PM):  but excluding london.
ariel (21:16:37 PM):  who knows?
cinthia (21:16:37 PM):  haha smh at you leah.
rita (21:16:52 PM):  Ok no London and what should be 3rd.
leah (21:16:52 PM):  lol.
tia (21:16:57 PM):  Paris.
ariel (21:17:02 PM):  YEY! cute guys here we come!
ariel (21:17:07 PM):  well ted excluded.
ariel (21:17:13 PM):  unless he wants to go that way.
